POSTNUMMER,OFFICE NAME,DEP NAME,FIRMA_ID,OFFICE_id
3124,Tønsberg,Bakke P,3000021,3000028
3125,Tønsberg,Bakke P,3000021,3000028
3126,Tønsberg,Bakke P,3000021,3000028
3127,Tønsberg,Bakke P,3000021,3000028
3128,Tønsberg,Bakke P,3000021,3000028
3132,Tønsberg,Bakke P,3000021,3000028
3133,Tønsberg,Bakke P,3000021,3000028
3135,Tønsberg,Bakke P,3000021,3000028
3138,Tønsberg,Bakke P,3000021,3000028
3140,Tønsberg,Bakke P,3000021,3000028
3142,Tønsberg,Bakke P,3000021,3000028
3143,Tønsberg,Bakke P,3000021,3000028
3144,Tønsberg,Bakke P,3000021,3000028
3145,Tønsberg,Bakke P,3000021,3000028
3148,Tønsberg,Bakke P,3000021,3000028
3150,Tønsberg,Bakke P,3000021,3000028
3151,Tønsberg,Bakke P,3000021,3000028
3152,Tønsberg,Bakke P,3000021,3000028
3153,Tønsberg,Bakke P,3000021,3000028
3154,Tønsberg,Bakke P,3000021,3000028
3157,Tønsberg,Bakke P,3000021,3000028
3158,Tønsberg,Bakke P,3000021,3000028
3159,Tønsberg,Bakke P,3000021,3000028
3160,Tønsberg,Bakke P,3000021,3000028
3170,Tønsberg,Bakke P,3000021,3000028
3171,Tønsberg,Bakke P,3000021,3000028
3172,Tønsberg,Bakke P,3000021,3000028
3173,Tønsberg,Bakke P,3000021,3000028
3174,Tønsberg,Bakke P,3000021,3000028
3175,Tønsberg,Bakke P,3000021,3000028
3176,Tønsberg,Bakke P,3000021,3000028
3179,Tønsberg,Bakke P,3000021,3000028
,,,,
6005,Ålesund,Aursnes P,3000049,3000081
6019,Ålesund,Aursnes P,3000049,3000081
6006,Ålesund,Aursnes P,3000049,3000081
6008,Ålesund,Aursnes P,3000049,3000081
6052,Ålesund,Aursnes P,3000049,3000081
6272,Ålesund,Aursnes P,3000049,3000081
6264,Ålesund,Aursnes P,3000049,3000081
6290,Ålesund,Aursnes P,3000049,3000081
6294,Ålesund,Aursnes P,3000049,3000081
6280,Ålesund,Aursnes P,3000049,3000081
6270,Ålesund,Aursnes P,3000049,3000081
6062,Ålesund,Aursnes P,3000049,3000081
6076,Ålesund,Aursnes P,3000049,3000081
6098,Ålesund,Aursnes P,3000049,3000081
6080,Ålesund,Aursnes P,3000049,3000081
6070,Ålesund,Aursnes P,3000049,3000081
6214,Ålesund,Aursnes P,3000049,3000081
6210,Ålesund,Aursnes P,3000049,3000081
6083,Ålesund,Aursnes P,3000049,3000081
6149,Ålesund,Aursnes P,3000049,3000081
6215,Ålesund,Aursnes P,3000049,3000081
6260,Ålesund,Aursnes P,3000049,3000081
6212,Ålesund,Aursnes P,3000049,3000081
6250,Ålesund,Aursnes P,3000049,3000081
6035,Ålesund,Aursnes P,3000049,3000081
6030,Ålesund,Aursnes P,3000049,3000081
6036,Ålesund,Aursnes P,3000049,3000081
6220,Ålesund,Aursnes P,3000049,3000081
6224,Ålesund,Aursnes P,3000049,3000081
6222,Ålesund,Aursnes P,3000049,3000081
6064,Ålesund,Aursnes P,3000049,3000081
6065,Ålesund,Aursnes P,3000049,3000081
6144,Ålesund,Aursnes P,3000049,3000081
6142,Ålesund,Aursnes P,3000049,3000081
6140,Ålesund,Aursnes P,3000049,3000081
6143,Ålesund,Aursnes P,3000049,3000081
6141,Ålesund,Aursnes P,3000049,3000081
6133,Ålesund,Aursnes P,3000049,3000081
6184,Ålesund,Aursnes P,3000049,3000081
6240,Ålesund,Aursnes P,3000049,3000081
6174,Ålesund,Aursnes P,3000049,3000081
6190,Ålesund,Aursnes P,3000049,3000081
6040,Ålesund,Aursnes P,3000049,3000081
6183,Ålesund,Aursnes P,3000049,3000081
6165,Ålesund,Aursnes P,3000049,3000081
6285,Ålesund,Aursnes P,3000049,3000081
6196,Ålesund,Aursnes P,3000049,3000081
6096,Ålesund,Aursnes P,3000049,3000081
6293,Ålesund,Aursnes P,3000049,3000081
6200,Ålesund,Aursnes P,3000049,3000081
6200,Ålesund,Aursnes P,18,21
6201,Ålesund,Aursnes P,18,21
6202,Ålesund,Aursnes P,18,21
6203,Ålesund,Aursnes P,18,21
6204,Ålesund,Aursnes P,18,21
6205,Ålesund,Aursnes P,18,21
6206,Ålesund,Aursnes P,18,21
6207,Ålesund,Aursnes P,18,21
6208,Ålesund,Aursnes P,18,21
6209,Ålesund,Aursnes P,18,21
6210,Ålesund,Aursnes P,18,21
6211,Ålesund,Aursnes P,18,21
